Name,Tooth ID,Day 0,Day 30,Day 60,Rostral_0,Buccal_0,Distal_0,Palatal_0,Gingival Recession_0,Bleeding Assessment_0,Aver_Day0,Rostral_30,Buccal_30,Distal_30,Palatal_30,Gingival Recession_30,Bleeding Assessment_30,Aver_Day30,Rostral_60,Buccal_60,Distal_60,Palatal_60,Gingival Recession_60,Bleeding Assessment_60,Aver_Day60
Oreo,405,0,30,60,3,1,2,2,0,2,2,1,1,1,1,0,2,1,1,1,1,1,0,0,1
Oreo,404,0,30,60,4,3,3,1,0,2,2.75,4,3,3,2,0,2,3,4,2,3,2,0,2,2.75
Oreo,403,0,30,60,4,1,4,2,0,2,2.75,4,1,3,1,0,2,2.25,4,1,3,2,0,2,2.5
Oreo,402,0,30,60,3,1,3,2,0,2,2.25,3,1,3,3,0,2,2.5,3,1,3,3,0,2,2.5
Oreo,401,0,30,60,2,1,3,3,0,2,2.25,1,1,3,1,0,2,1.5,1,1,3,3,0,2,2
Oreo,301,0,30,60,3,2,4,1,0,2,2.5,3,2,3,3,0,2,2.75,2,1,3,3,0,2,2.25
Oreo,302,0,30,60,4,1,4,1,0,2,2.5,3,1,4,1,0,2,2.25,3,1,3,1,0,2,2
Oreo,303,0,30,60,3,1,4,3,0,2,2.75,4,1,3,1,0,2,2.25,3,1,4,3,0,2,2.75
Oreo,304,0,30,60,4,4,3,3,0,2,3.5,4,3,3,3,0,2,3.25,4,3,4,2,0,2,3.25
Oreo,305,0,30,60,1,1,3,3,0,1,2,3,2,3,3,0,2,2.75,1,1,2,2,0,1,1.5
Oreo,306,0,30,60,1,1,2,1,0,2,1.25,3,1,1,2,0,2,1.75,1,1,3,2,0,2,1.75
Oreo,307,0,30,60,1,1,2,1,0,2,1.25,1,1,1,1,0,2,1,1,1,1,1,0,2,1
Oreo,308,0,30,60,1,1,3,1,0,0,1.5,1,1,3,1,0,2,1.5,1,1,2,1,0,2,1.25
Oreo,309,0,30,60,2,1,3,1,0,2,1.75,3,1,2,1,0,2,1.75,2,1,2,1,0,2,1.5
Oreo,310,0,30,60,1,2,2,1,0,2,1.5,1,1,2,1,0,2,1.25,1,1,1,1,0,2,1
Oreo,311,0,30,60,1,1,1,1,0,2,1,1,1,1,1,0,2,1,1,1,1,1,0,0,1
Kobe,110,0,30,60,2,2,2,2,0,2,2,2,1,2,2,0,2,1.75,1,1,1,1,0,2,1
Kobe,109,0,30,60,3,3,3,2,0,2,2.75,3,3,3,2,0,2,2.75,2,3,3,2,0,2,2.5
Kobe,108,0,30,60,3,2,3,3,0,2,2.75,3,2,3,3,0,2,2.75,3,2,1,2,0,2,2
Kobe,107,0,30,60,3,1,3,2,0,2,2.25,1,1,3,2,0,2,1.75,2,1,3,1,0,2,1.75
Kobe,106,0,30,60,2,2,3,2,0,2,2.25,1,2,1,2,0,2,1.5,1,2,2,1,0,2,1.5
Kobe,105,0,30,60,2,2,2,1,0,2,1.75,1,2,1,2,0,2,1.5,2,2,2,1,0,2,1.75
Kobe,104,0,30,60,4,3,3,4,0,2,3.5,4,3,2,4,0,2,3.25,4,3,2,4,0,2,3.25
Kobe,103,0,30,60,3,1,1,1,0,2,1.5,3,1,1,1,0,2,1.5,1,1,1,1,0,2,1
Kobe,102,0,30,60,3,1,3,2,0,2,2.25,3,1,3,2,0,2,2.25,3,1,3,2,0,2,2.25
Kobe,101,0,30,60,4,1,2,2,0,2,2.25,3,2,2,2,0,2,2.25,2,1,2,1,0,2,1.5
Kobe,201,0,30,60,3,1,3,2,0,2,2.25,3,1,3,3,0,2,2.5,2,1,2,2,0,2,1.75
Kobe,202,0,30,60,2,1,3,2,0,2,2,2,1,3,2,0,2,2,1,1,1,1,0,2,1
Kobe,203,0,30,60,3,2,2,2,0,2,2.25,3,1,1,1,0,2,1.5,2,1,1,2,0,2,1.5
Kobe,204,0,30,60,4,3,3,3,0,2,3.25,4,3,3,2,0,2,3,4,3,3,2,0,2,3
Kobe,205,0,30,60,3,3,3,2,0,2,2.75,3,2,3,2,0,2,2.5,2,2,2,2,0,2,2
Kobe,206,0,30,60,3,1,3,2,0,2,2.25,3,1,2,2,0,2,2,3,1,2,2,0,2,2
Kobe,207,0,30,60,2,1,4,1,0,2,2,2,1,3,2,0,2,2,3,1,1,2,0,2,1.75
Kobe,208,0,30,60,3,3,4,2,0,2,3,2,2,2,2,0,2,2,1,2,2,1,0,2,1.5
Kobe,209,0,30,60,3,3,3,2,0,2,2.75,3,3,3,2,0,2,2.75,3,3,3,2,0,2,2.75
Kobe,210,0,30,60,3,3,3,3,0,2,3,2,2,2,2,0,2,2,2,2,2,2,0,2,2
Kobe,411,0,30,60,3,2,2,2,0,2,2.25,2,2,2,2,0,2,2,2,2,1,1,0,2,1.5
Kobe,410,0,30,60,1,3,4,2,0,2,2.5,1,3,3,1,0,2,2,1,3,3,1,0,2,2
Kobe,409,0,30,60,4,3,3,1,0,2,2.75,2,3,3,1,0,2,2.25,2,1,2,1,0,2,1.5
Kobe,408,0,30,60,3,1,3,2,0,2,2.25,2,1,3,2,0,2,2,2,1,3,2,0,2,2
Kobe,407,0,30,60,3,1,3,2,0,2,2.25,3,1,3,2,0,2,2.25,3,1,1,2,0,2,1.75
Kobe,406,0,30,60,3,1,2,2,0,2,2,3,1,2,2,0,2,2,3,1,2,1,0,2,1.75
Kobe,405,0,30,60,3,2,3,3,0,2,2.75,3,2,3,2,0,2,2.5,2,1,3,2,0,1,2
