Subject Name,Tooth ID,Day,Rostral ,Buccal ,Distal,Palatal,Gingivial Recession,Bleeding Assessment
MADDIE,210,60,2,2,2,2,0,2
MADDIE,411,0,1,1,1,1,0,2
MADDIE,411,30,1,2,2,2,0,2
MADDIE,411,60,2,2,2,2,0,0
MADDIE,410,0,1,3,2,1,0,2
MADDIE,410,30,2,3,3,1,0,2
MADDIE,410,60,3,4,3,2,0,2
MADDIE,409,0,2,2,3,1,0,2
MADDIE,409,30,3,2,3,2,0,2
MADDIE,409,60,4,3,3,2,0,2
MADDIE,408,0,1,1,1,1,0,2
MADDIE,408,30,1,1,3,2,0,1
MADDIE,408,60,1,4,3,3,0,2
MADDIE,407,0,1,1,2,1,0,2
MADDIE,407,30,1,1,2,1,0,0
MADDIE,407,60,1,1,3,1,0,1
MADDIE,406,0,1,1,1,1,0,1
MADDIE,406,30,1,1,3,1,0,2
MADDIE,406,60,1,1,3,1,0,1
MADDIE,405,0,1,2,1,1,0,2
MADDIE,405,30,1,2,2,2,0,2
MADDIE,405,60,1,2,2,2,0,0
MADDIE,404,0,3,1,1,2,0,2
MADDIE,404,30,4,3,3,3,0,2
MADDIE,404,60,4,3,4,4,0,0
MADDIE,403,0,3,1,3,1,0,2
MADDIE,403,30,4,1,4,2,0,2
MADDIE,403,60,4,1,5,4,0,2
MADDIE,402,0,2,1,3,1,0,2
MADDIE,402,30,3,2,3,1,0,2
MADDIE,402,60,3,2,3,2,0,2
MADDIE,401,0,3,1,2,2,0,2
MADDIE,401,30,4,1,3,2,0,2
MADDIE,401,60,4,1,3,2,0,0
MADDIE,301,0,1,1,2,1,0,0
MADDIE,301,30,2,1,3,1,0,0
MADDIE,301,60,3,1,3,3,0,0
MADDIE,302,0,1,1,1,1,0,2
MADDIE,302,30,3,1,2,1,0,0
MADDIE,302,60,3,1,3,3,0,0
MADDIE,303,0,1,1,3,1,0,2
MADDIE,303,30,1,1,4,3,0,2
MADDIE,303,60,3,1,4,3,0,2
MADDIE,304,0,4,3,3,3,0,2
MADDIE,304,30,4,3,4,4,0,2
MADDIE,304,60,5,3,4,4,0,2
MADDIE,305,0,1,1,1,1,0,2
MADDIE,305,30,2,2,1,2,0,2
MADDIE,305,60,2,2,1,2,0,1
MADDIE,306,0,1,1,1,1,0,1
MADDIE,306,30,2,1,2,1,0,1
MADDIE,306,60,2,1,2,1,0,2
MADDIE,307,0,1,1,1,1,0,2
MADDIE,307,30,1,1,1,2,0,0
MADDIE,307,60,3,1,2,2,0,2
MADDIE,308,0,1,1,3,1,0,2
MADDIE,308,30,1,1,4,3,0,2
MADDIE,308,60,1,1,4,4,0,2
MADDIE,309,0,1,1,1,1,0,2
MADDIE,309,30,2,1,2,1,0,2
MADDIE,309,60,2,1,2,1,0,2
MADDIE,310,0,1,1,1,1,0,2
MADDIE,310,30,1,2,1,1,0,2
MADDIE,310,60,1,2,1,1,0,2
MADDIE,311,0,1,1,1,1,0,2
MADDIE,311,30,1,1,1,1,0,2
MADDIE,311,60,1,2,2,1,0,2
BLUE,110,0,1,1,1,1,0,2
BLUE,110,30,1,1,1,1,0,0
BLUE,110,60,1,1,1,1,0,0
BLUE,109,0,2,2,2,3,1,2
BLUE,109,30,3,2,3,4,1,2
BLUE,109,60,3,3,3,4,1,2
BLUE,108,0,3,5,2,3,0,2
BLUE,108,30,3,6,3,3,0,2
BLUE,108,60,3,6,3,4,0,2
BLUE,107,0,2,1,1,1,0,2
BLUE,107,30,2,1,3,2,0,2
BLUE,107,60,2,1,3,2,0,2
BLUE,106,0,1,1,1,1,0,2
BLUE,106,30,2,1,1,2,0,2
BLUE,106,60,2,1,1,2,0,2
BLUE,105,0,1,1,1,1,0,2
BLUE,105,30,1,1,2,1,0,2
BLUE,105,60,1,1,2,2,0,2
BLUE,104,0,3,1,1,1,0,2
BLUE,104,30,4,2,1,2,0,2
BLUE,104,60,4,2,1,2,0,2
BLUE,103,0,1,1,1,1,0,2
BLUE,103,30,2,1,2,1,0,2
BLUE,103,60,3,1,2,2,0,2
BLUE,102,0,1,1,1,1,0,2
BLUE,102,30,2,1,1,1,0,2
BLUE,102,60,2,1,1,1,0,2
BLUE,101,0,1,1,2,1,1,2
BLUE,101,30,5,3,2,2,1,2
BLUE,101,60,6,5,3,3,0,2
BLUE,201,0,1,1,1,1,0,2
BLUE,201,30,3,1,1,1,0,2
BLUE,201,60,3,1,1,1,0,2
BLUE,202,0,1,1,1,1,0,2
BLUE,202,30,2,1,1,1,0,2
BLUE,202,60,3,1,3,3,0,2
BLUE,203,0,1,1,1,1,0,2
BLUE,203,30,2,1,1,2,0,2
BLUE,203,60,3,1,1,2,0,2
BLUE,204,0,3,2,3,3,0,2
BLUE,204,30,3,2,3,3,0,2
BLUE,204,60,4,3,3,3,0,2
BLUE,205,0,2,2,2,2,0,2
BLUE,205,30,1,1,1,1,0,2
BLUE,205,60,1,1,1,1,0,2
BLUE,206,0,3,1,1,1,0,2
BLUE,206,30,3,2,2,3,0,2
BLUE,206,60,3,2,2,3,0,2
BLUE,207,0,1,1,1,1,0,2
BLUE,207,30,2,1,1,2,0,2
BLUE,207,60,2,1,2,3,0,2
