,name,tooth_ID,day_0,day_30,day_60,rostral_day0,buccal_day0,distal_day0,palatal_day0,gingival_recession_day0,bledding_assesment_day0,aver_day0,rostral_day30,buccal_day30,distal_day30,palatal_day30,gingival_recession_day30,bleeding_assesment_day30,aver_day30,rostral_day60,buccal_day60,distal_day60,palatal_day60,gingival_recession_day60,bledding_assesment_day60,aver_day60
40,Penny,310,0,30,60,1.0,1.0,2.0,1.0,0.0,2.0,1.25,1.0,1.0,2.0,2.0,0.0,2.0,1.5,1.0,2.0,3.0,2.0,0.0,2.0,2.0
41,Penny,311,0,30,60,1.0,3.0,1.0,1.0,0.0,0.0,1.5,2.0,2.0,1.0,1.0,0.0,0.0,1.5,2.0,2.0,1.0,2.0,0.0,0.0,1.75
42,Baby,110,0,30,60,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0
43,Baby,109,0,30,60,4.0,3.0,3.0,3.0,0.0,2.0,3.25,4.0,4.0,3.0,3.0,0.0,2.0,3.5,5.0,4.0,4.0,3.0,0.0,2.0,4.0
44,Baby,108,0,30,60,2.0,3.0,4.0,1.0,0.0,2.0,2.5,2.0,3.0,4.0,1.0,0.0,2.0,2.5,4.0,3.0,3.0,2.0,0.0,2.0,3.0
45,Baby,107,0,30,60,4.0,1.0,3.0,4.0,1.0,2.0,3.0,4.0,3.0,4.0,4.0,0.0,2.0,3.75,4.0,3.0,3.0,4.0,0.0,2.0,3.5
46,Baby,106,0,30,60,2.0,2.0,3.0,3.0,1.0,2.0,2.5,4.0,4.0,3.0,4.0,1.0,2.0,3.75,4.0,4.0,4.0,5.0,1.0,2.0,4.25
47,Baby,105,0,30,60,2.0,1.0,2.0,1.0,0.0,2.0,1.5,3.0,3.0,4.0,3.0,0.0,2.0,3.25,4.0,4.0,4.0,4.0,0.0,2.0,4.0
48,Baby,104,0,30,60,3.0,4.0,4.0,4.0,1.0,2.0,3.75,3.0,4.0,4.0,4.0,1.0,2.0,3.75,5.0,4.0,5.0,5.0,0.0,2.0,4.75
49,Baby,103,0,30,60,3.0,2.0,3.0,3.0,0.0,2.0,2.75,4.0,3.0,3.0,4.0,0.0,2.0,3.5,4.0,4.0,4.0,4.0,0.0,2.0,4.0
50,Baby,102,0,30,60,2.0,3.0,4.0,4.0,0.0,2.0,3.25,3.0,3.0,4.0,4.0,0.0,2.0,3.5,4.0,3.0,5.0,4.0,0.0,2.0,4.0
51,Baby,101,0,30,60,4.0,3.0,4.0,4.0,0.0,2.0,3.75,5.0,4.0,4.0,4.0,1.0,2.0,4.25,5.0,4.0,5.0,4.0,0.0,2.0,4.5
52,Baby,201,0,30,60,4.0,3.0,4.0,3.0,1.0,2.0,3.5,4.0,3.0,4.0,4.0,1.0,2.0,3.75,5.0,4.0,4.0,4.0,1.0,2.0,4.25
53,Baby,202,0,30,60,5.0,1.0,5.0,3.0,1.0,2.0,3.5,5.0,4.0,4.0,3.0,1.0,2.0,4.0,5.0,4.0,4.0,4.0,1.0,2.0,4.25
54,Baby,203,0,30,60,4.0,3.0,3.0,2.0,0.0,2.0,3.0,4.0,4.0,4.0,3.0,0.0,2.0,3.75,5.0,4.0,5.0,4.0,0.0,2.0,4.5
55,Baby,204,0,30,60,4.0,4.0,4.0,5.0,1.0,2.0,4.25,5.0,5.0,4.0,5.0,1.0,2.0,4.75,5.0,5.0,5.0,6.0,1.0,2.0,5.25
56,Baby,205,0,30,60,3.0,1.0,2.0,3.0,0.0,2.0,2.25,4.0,2.0,4.0,3.0,0.0,2.0,3.25,4.0,2.0,4.0,3.0,0.0,2.0,3.25
57,Baby,206,0,30,60,3.0,3.0,4.0,4.0,1.0,2.0,3.5,4.0,4.0,4.0,4.0,1.0,2.0,4.0,4.0,4.0,4.0,4.0,1.0,2.0,4.0
58,Baby,207,0,30,60,3.0,2.0,2.0,2.0,1.0,2.0,2.25,4.0,3.0,3.0,4.0,1.0,2.0,3.5,4.0,4.0,3.0,4.0,0.0,2.0,3.75
59,Baby,208,0,30,60,3.0,3.0,4.0,2.0,0.0,2.0,3.0,3.0,4.0,4.0,3.0,0.0,2.0,3.5,3.0,4.0,4.0,3.0,0.0,2.0,3.5
