,name,tooth_ID,day_0,day_30,day_60,rostral_day0,buccal_day0,distal_day0,palatal_day0,gingival_recession_day0,bledding_assesment_day0,aver_day0,rostral_day30,buccal_day30,distal_day30,palatal_day30,gingival_recession_day30,bleeding_assesment_day30,aver_day30,rostral_day60,buccal_day60,distal_day60,palatal_day60,gingival_recession_day60,bledding_assesment_day60,aver_day60
88,Kobe,106,0,30,60,2,2,3,2,0,2,2,1,2,1,2,0,2,1,1,2,2,1,0,2,1
89,Kobe,105,0,30,60,2,2,2,1,0,2,1,1,2,1,2,0,2,1,2,2,2,1,0,2,1
90,Kobe,104,0,30,60,4,3,3,4,0,2,3,4,3,2,4,0,2,3,4,3,2,4,0,2,3
91,Kobe,103,0,30,60,3,1,1,1,0,2,1,3,1,1,1,0,2,1,1,1,1,1,0,2,1
92,Kobe,102,0,30,60,3,1,3,2,0,2,2,3,1,3,2,0,2,2,3,1,3,2,0,2,2
93,Kobe,101,0,30,60,4,1,2,2,0,2,2,3,2,2,2,0,2,2,2,1,2,1,0,2,1
94,Kobe,201,0,30,60,3,1,3,2,0,2,2,3,1,3,3,0,2,2,2,1,2,2,0,2,1
95,Kobe,202,0,30,60,2,1,3,2,0,2,2,2,1,3,2,0,2,2,1,1,1,1,0,2,1
96,Kobe,203,0,30,60,3,2,2,2,0,2,2,3,1,1,1,0,2,1,2,1,1,2,0,2,1
97,Kobe,204,0,30,60,4,3,3,3,0,2,3,4,3,3,2,0,2,3,4,3,3,2,0,2,3
98,Kobe,205,0,30,60,3,3,3,2,0,2,2,3,2,3,2,0,2,2,2,2,2,2,0,2,2
99,Kobe,206,0,30,60,3,1,3,2,0,2,2,3,1,2,2,0,2,2,3,1,2,2,0,2,2
100,Kobe,207,0,30,60,2,1,4,1,0,2,2,2,1,3,2,0,2,2,3,1,1,2,0,2,1
101,Kobe,208,0,30,60,3,3,4,2,0,2,3,2,2,2,2,0,2,2,1,2,2,1,0,2,1
102,Kobe,209,0,30,60,3,3,3,2,0,2,2,3,3,3,2,0,2,2,3,3,3,2,0,2,2
103,Kobe,210,0,30,60,3,3,3,3,0,2,3,2,2,2,2,0,2,2,2,2,2,2,0,2,2
104,Kobe,411,0,30,60,3,2,2,2,0,2,2,2,2,2,2,0,2,2,2,2,1,1,0,2,1
105,Kobe,410,0,30,60,1,3,4,2,0,2,2,1,3,3,1,0,2,2,1,3,3,1,0,2,2
106,Kobe,409,0,30,60,4,3,3,1,0,2,2,2,3,3,1,0,2,2,2,1,2,1,0,2,1
107,Kobe,408,0,30,60,3,1,3,2,0,2,2,2,1,3,2,0,2,2,2,1,3,2,0,2,2
108,Kobe,407,0,30,60,3,1,3,2,0,2,2,3,1,3,2,0,2,2,3,1,1,2,0,2,1
109,Kobe,406,0,30,60,3,1,2,2,0,2,2,3,1,2,2,0,2,2,3,1,2,1,0,2,1
110,Kobe,405,0,30,60,3,2,3,3,0,2,2,3,2,3,2,0,2,2,2,1,3,2,0,1,2
111,Kobe,404,0,30,60,3,3,3,4,0,2,3,3,3,3,3,0,2,3,2,3,3,3,0,2,2
112,Kobe,403,0,30,60,4,3,3,4,0,2,3,4,2,3,4,0,2,3,4,1,2,3,0,2,2
113,Kobe,402,0,30,60,3,1,3,3,0,2,2,3,1,3,3,0,0,2,1,1,2,2,0,0,1
115,Kobe,301,0,30,60,4,1,2,3,0,0,2,4,1,2,3,0,0,2,3,1,2,3,0,0,2
116,Kobe,302,0,30,60,3,1,2,3,0,2,2,3,1,2,3,0,0,2,3,1,2,3,0,0,2
117,Kobe,303,0,30,60,3,3,4,5,0,2,3,3,3,3,4,0,2,3,3,3,3,4,0,2,3
118,Kobe,304,0,30,60,3,3,4,5,0,2,3,3,3,4,3,0,2,3,2,2,3,3,0,2,2
119,Kobe,305,0,30,60,3,3,3,3,0,2,3,1,2,3,3,0,2,2,1,2,3,3,0,2,2
120,Kobe,306,0,30,60,4,1,3,3,0,2,2,3,1,2,3,0,2,2,3,1,1,3,0,2,2
121,Kobe,307,0,30,60,3,1,3,3,0,2,2,3,1,3,3,0,2,2,2,1,3,3,0,2,2
122,Kobe,308,0,30,60,3,1,3,3,0,2,2,3,1,3,3,0,2,2,1,1,3,3,0,2,2
123,Kobe,309,0,30,60,2,1,3,2,0,2,2,2,1,3,1,0,2,1,2,1,2,1,0,2,1
124,Kobe,310,0,30,60,1,2,3,1,0,2,1,1,2,3,1,0,2,1,1,2,3,1,0,2,1
125,Kobe,311,0,30,60,1,1,1,1,0,2,1,1,1,1,1,0,2,1,1,1,1,1,0,0,1
126,Simba,110,0,30,60,2,2,2,3,0,2,2,2,1,1,3,0,2,1,1,1,1,3,0,2,1
128,Simba,108,0,30,60,3,4,3,4,1,2,3,2,3,3,4,1,2,3,2,3,3,4,0,2,3
129,Simba,107,0,30,60,2,1,1,3,1,2,1,1,1,1,3,0,2,1,1,1,1,3,0,2,1
131,Simba,105,0,30,60,3,1,2,2,0,2,2,2,1,1,2,0,2,1,1,1,2,1,0,2,1
132,Simba,104,0,30,60,4,2,4,5,0,2,3,4,1,4,3,0,2,3,3,1,3,4,0,2,2
133,Simba,103,0,30,60,3,2,3,1,0,2,2,3,1,1,1,0,2,1,1,1,1,1,0,2,1
134,Simba,102,0,30,60,3,1,3,2,0,2,2,2,1,3,1,0,2,1,1,1,1,2,0,2,1
135,Simba,101,0,30,60,3,1,3,3,0,2,2,3,1,2,3,0,2,2,2,1,2,3,0,2,2
136,Simba,201,0,30,60,2,1,2,2,0,2,1,2,1,1,1,0,2,1,2,1,1,1,0,2,1
137,Simba,202,0,30,60,2,1,2,2,0,2,1,1,1,2,2,0,2,1,1,1,1,2,0,2,1
138,Simba,203,0,30,60,3,2,1,1,0,2,1,2,1,1,1,0,2,1,2,1,1,1,0,2,1
139,Simba,204,0,30,60,4,3,4,4,0,2,3,4,2,3,3,0,2,3,4,2,3,3,0,2,3
140,Simba,205,0,30,60,4,1,5,4,0,2,3,3,1,4,3,0,2,2,2,1,4,3,0,2,2
141,Simba,206,0,30,60,4,1,3,3,1,2,2,4,1,3,2,0,2,2,4,1,2,2,0,2,2
142,Simba,207,0,30,60,3,3,4,4,1,2,3,2,2,4,4,1,2,3,2,2,4,4,0,2,3
143,Simba,208,0,30,60,4,2,3,4,0,2,3,3,2,2,4,1,2,2,3,2,2,4,0,2,2
144,Simba,209,0,30,60,3,4,5,4,0,2,4,2,4,4,3,1,2,3,2,4,4,3,0,2,3
145,Simba,210,0,30,60,2,2,2,2,0,2,2,2,2,2,2,0,2,2,2,2,2,2,0,2,2
146,Simba,411,0,30,60,2,2,2,1,0,2,1,2,2,2,1,0,2,1,2,2,2,1,0,1,1
148,Simba,409,0,30,60,2,2,2,2,0,2,2,1,2,2,1,1,2,1,1,2,2,1,0,2,1
149,Simba,408,0,30,60,3,1,3,4,0,2,2,1,1,3,4,0,2,2,2,1,3,3,0,2,2
150,Simba,407,0,30,60,2,1,2,1,0,2,1,1,1,2,1,0,2,1,1,1,2,1,0,2,1
151,Simba,406,0,30,60,2,1,2,1,0,2,1,1,1,2,1,0,2,1,1,1,2,1,0,2,1
152,Simba,405,0,30,60,3,1,1,2,0,2,1,3,1,1,1,0,2,1,3,1,1,1,0,2,1
153,Simba,404,0,30,60,3,3,4,3,0,2,3,2,2,4,3,0,2,2,2,1,2,3,0,2,2
154,Simba,403,0,30,60,2,1,3,4,0,2,2,1,1,3,2,0,2,1,1,1,2,2,0,2,1
